us, ir
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1254, 1200.0
1254, 1200.0
1254, 1200.0
1254, 1200.0
1246, 1200.0
1246, 1200.0
1246, 1200.0
1246, 1200.0
1244, 1200.0
1244, 1200.0
1244, 1200.0
1244, 1200.0
1236, 1200.0
1236, 1200.0
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1217, 1162.688
1217, 1162.688
1217, 1162.688
1217, 1162.688
1206, 1162.688
1206, 1107.8
1206, 1107.8
1206, 1107.8
1206, 1107.8
1198, 1107.8
1198, 1107.8
1198, 1107.8
1198, 1107.8
1187, 1107.8
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1107.8
1187, 1107.8
1187, 1107.8
1187, 1107.8
1154, 1107.8
1154, 1107.8
1154, 1107.8
1154, 1107.8
1154, 1107.8
1135, 1071.928
1135, 1071.928
1135, 1071.928
1135, 1071.928
1135, 1071.928
1121, 1071.928
1121, 1071.928
1121, 1071.928
1121, 1071.928
1121, 1071.928
1105, 1071.928
1105, 1071.928
1105, 1071.928
1105, 1071.928
1105, 1071.928
1093, 1071.928
1093, 1071.928
1093, 1071.928
1093, 1036.632
1093, 1036.632
1070, 1036.632
1070, 1036.632
1070, 1036.632
1070, 1036.632
1070, 1036.632
1052, 1036.632
1052, 1036.632
1052, 1036.632
1052, 984.768
1052, 984.768
1031, 984.768
1031, 984.768
1031, 984.768
1031, 984.768
1031, 984.768
1014, 984.768
1014, 984.768
1014, 950.9120000000001
1014, 950.9120000000001
1014, 950.9120000000001
993, 950.9120000000001
993, 950.9120000000001
993, 950.9120000000001
993, 950.9120000000001
976, 950.9120000000001
976, 950.9120000000001
976, 917.632
976, 917.632
955, 917.632
955, 917.632
955, 917.632
955, 917.632
955, 917.632
939, 917.632
939, 917.632
939, 917.632
939, 884.928
939, 884.928
921, 884.928
921, 884.928
921, 884.928
921, 884.928
921, 884.928
903, 884.928
903, 884.928
903, 852.8
903, 852.8
903, 852.8
885, 852.8
885, 852.8
885, 852.8
885, 852.8
885, 852.8
